sam,bank,surv,geno,tod,early,pheno
6B,e,0.5,6,20,0,s
7A,e,0.5,7,20,0,s
7B,e,0.5,7,20,0,s
8A,e,1,8,23,0,r
8B,e,1,8,23,0,r
9A,e,1,9,23,0,r
9B,e,1,9,23,0,r
10A,e,0.75,10,23,0,r
10B,e,0.75,10,23,0,r
11A,e,0.5,11,20,0,s
11B,e,0.5,11,20,0,s
12B,e,1,12,23,0,r
13A,e,0.5,13,20,0,s
13B,e,0.5,13,20,0,s
14A,e,0.5,14,20,0,s
14B,e,0.5,14,20,0,s
15A,e,1,15,23,0,r
15B,e,1,15,23,0,r
26A,e,0.5,26,20,0,s
26B,e,0.5,26,20,0,s
27A,e,1,27,23,0,r
27B,e,1,27,23,0,r
28A,e,0,28,10,1,s
28B,e,0,28,10,1,s
29A,e,0.5,29,20,0,s
29B,e,0.5,29,20,0,s
1A,w,0.5,1,18,1,s
1B,w,0.5,1,18,1,s
2A,w,0.5,2,20,0,s
2B,w,0.5,2,20,0,s
3A,w,1,3,23,0,r
4A,w,0.5,4,21,0,s
4B,w,0.5,4,21,0,s
5A,w,1,5,23,0,r
5B,w,1,5,23,0,r
6A,e,0.5,6,20,0,s
16A,w,0.5,16,20,0,s
16B,w,0.5,16,20,0,s
17A,w,0.5,17,20,0,s
17B,w,0.5,17,20,0,s
18A,w,0,18,10,1,s
18B,w,0,18,10,1,s
19A,w,0.5,19,20,0,s
19B,w,0.5,19,20,0,s
20A,w,0.5,20,20,0,s
20B,w,0.5,20,20,0,s
21A,w,0.5,21,17,1,s
21B,w,0.5,21,17,1,s
23A,w,0.5,23,20,0,s
23B,w,0.5,23,20,0,s
24A,w,0.5,24,20,0,s
24B,w,0.5,24,20,0,s
25A,w,0.5,25,20,0,s
25B,w,0.5,25,20,0,s
